Objection_Type,Customer_Quote_Example,Response_Framework,Social_Proof_Hook,Close_CTA,Priority,Category,Tone_Strategy
Price_Too_High,"That's expensive","[REFRAME] Break down to daily cost. Compare to what they're currently spending (eating out, gym membership, supplements separately). Emphasize ROI in health/confidence/time.","Point to client who had same concern but made back the investment in saved medical bills / increased energy at work","What if I could show you exactly what's included so you can see the value breakdown?",10,Price,Empathetic + Logical
Price_Too_High,"I can't afford that right now","[VALIDATE + SHIFT] ""I get it. Money's tight. But here's the real question: What's it costing you NOT to change? Lost confidence? Health declining? Energy tanking?"" Then offer payment plan if available.","Share story of client who said same thing but prioritized it and calls it best investment ever","We have payment options. Want to see if one works for your budget?",10,Price,Reality Check + Solution
No_Time,"I'm too busy","[CHALLENGE] ""That's exactly why you need this. Busy people need systems that SAVE time, not waste it. Our meal plans take 20 minutes. Workouts are 30-45 min, 4x/week. What are you spending that time on now?""","Client who travels for work, has 3 kids, still lost 35 lbs in 12 weeks","If I could show you how our clients do this in less time than scrolling social media, would you be interested?",10,Time,Direct Challenge
No_Time,"I work crazy hours","[EMPATHIZE + PROVE] ""Most our clients work 50+ hour weeks. That's WHY they come to us. We build plans around YOUR schedule, not some fantasy life. Shift worker? Road warrior? We've done it.""","Share story of someone with similar work schedule who succeeded","Tell me about your typical week. Let's see if this is actually a fit or not.",9,Time,Practical + Honest
Skepticism,"Does this really work?","[PROOF STACK] ""Fair question. We've transformed [X] clients in [timeframe]. Here's what's different: personal coaching, custom plans, weekly adjustments. Not a cookie-cutter app. Real humans, real results.""","Offer to show before/after gallery or connect them with past client","Want to see actual client results from people like you?",10,Trust,Evidence-Based
Skepticism,"I've heard this before","[ACKNOWLEDGE + DIFFERENTIATE] ""Yeah, the fitness industry is full of BS. I'd be skeptical too. Here's what we DON'T do: [generic plans, ignore you after sale, promise magic]. Here's what we DO: [specific differentiators]""","Client who tried 5 programs before this one finally worked","What specifically hasn't worked for you before? Let's make sure we're not repeating past mistakes.",9,Trust,Brutally Honest
Past_Failures,"I've tried everything","[REFRAME FAILURE] ""Good. You didn't fail. Those programs failed YOU. Generic meal plans? They don't account for YOUR life. Bootcamp workouts? Not sustainable. The fact you kept trying proves you're not the problem.""","Someone who failed with Noom, Weight Watchers, etc. before succeeding with you","What specifically made those programs not work? Let's see if we're actually different.",10,Past_Experience,Validation + Hope
Past_Failures,"Nothing works for me","[CHALLENGE BELIEF] ""Let me ask you something: Did those programs customize to your schedule? Adjust weekly based on YOUR progress? Give you a real coach? Probably not. That's not 'nothing works.' That's 'cookie-cutter doesn't work.'""","Client with similar history who was shocked it worked","If you had a plan built specifically for your body, schedule, and goals—and someone adjusting it weekly—would that be different than what you tried before?",9,Past_Experience,Logical Breakdown
Not_Ready,"I'll think about it","[CREATE URGENCY] ""Totally fair. But real talk: How long have you been 'thinking about it'? 6 months? A year? Every day you wait is another day of [pain point]. What specifically do you need to think about?""","Client who waited 6 months, wishes they started sooner","What would need to be true for you to feel ready? Let's see if we can answer that now.",8,Commitment,Respectful Push
Not_Ready,"I'll start Monday","[EXPOSE PATTERN] ""Monday. The procrastinator's favorite word. Here's the truth: There's never a 'perfect time.' There's always going to be a birthday, a vacation, a stressful week. The best time was yesterday. Second best is now.""","Client who started on a random Wednesday, now transformed","What if we started TODAY with just ONE small action? No commitment, just momentum.",8,Commitment,Pattern Interrupt
Dietary_Restrictions,"I'm vegan / keto / etc","[ACCOMMODATE] ""Perfect. We customize to YOUR eating style. Vegan? We've got you. Keto? Done it 100 times. The meal plan adapts to you, not the other way around.""","Client with same dietary restriction who succeeded","Tell me about your dietary needs. Let's make sure we can accommodate them.",7,Lifestyle,Flexible + Confident
Dietary_Restrictions,"I have food allergies","[SAFETY FIRST] ""This is important. We take allergies seriously. Your coach will build around your restrictions. No guesswork. What are you allergic to?""","Client with severe allergies who thrived on the program","Let's map out your allergies first. Then we'll know if we can safely support you.",9,Lifestyle,Safety + Care
Travel_Lifestyle,"I travel constantly","[PROVE PORTABILITY] ""So do half our clients. Sales reps, consultants, pilots. We build portable meal strategies and hotel-room workouts. You can do this from anywhere.""","Road warrior client who travels 3 weeks/month","How often are you traveling? Let's see if our mobile strategy fits.",7,Lifestyle,Practical Solution
Family_Social,"My family won't eat this","[REFRAME] ""You're not cooking separate meals. You're eating real food. Protein, veggies, carbs. Same food, different portions. Your family can eat the same stuff.""","Parent who feeds family and self from same meal plan","What does your family typically eat? Let's see if there's overlap.",6,Lifestyle,Practical Reality
Age_Concern,"I'm too old for this","[REJECT EXCUSE] ""We've transformed people in their 60s. Age isn't the issue. Consistency is. Your body still responds to proper nutrition and training. Maybe slower, but it responds.""","Client in similar age range who succeeded","How old are you? Let's see who we've worked with in your age group.",6,Demographics,Inspirational
Age_Concern,"I'm too young / not ready yet","[FLIP SCRIPT] ""You're in the BEST position. Start now with good habits before bad ones cement. Easier to build the foundation now than rebuild later.""","Young client who's grateful they started early","What makes you think you're too young? Most people wish they started earlier.",5,Demographics,Future-Focused
Injury_Health,"I have an injury","[SAFETY + MODIFICATION] ""What's the injury? We modify around injuries all the time. Bad knee? We'll avoid impact. Back issues? We adjust. Your safety comes first.""","Client who worked around injury successfully","Tell me about the injury. Let's see if we can work around it safely.",9,Health,Careful + Adaptive
Health_Conditions,"I have [medical condition]","[DEFER TO DOCTOR + SUPPORT] ""Have you talked to your doctor about starting a program? We need medical clearance for certain conditions. Once cleared, we customize around your needs.""","Client with similar condition who got doctor approval","What's the condition? Let's make sure we can support you safely and legally.",10,Health,Responsible + Safe
